title,openTypeList,detail
三农问题,中国农业##农业##农村##经济,“三农问题”是指农业、农村、农民这三个问题。实际上，这是一个从事行业、居住地域和主体身份三位一体的问题，但三者侧重点不一，必须一体化地考虑以上三个问题。“三农问题”是农业文明向工业文明过渡的必然产物。中共十六大后，一系列高层会议和政策举措已勾勒出中央新领导集体施政思路的概貌。由于新领导集体面临的问题和担负的任务与以前相比有很大不同，他们的施政思路展示出不少“新的东西”。这其中，对“三农”问题的态度极其引人关注。
中国国家农业信息网,中国农业##农业,"网站标识/中国国家农业信息网 编辑 			 		　　中国国家农业信息网，是一个集互联网信息、电子商务和线下服务于一体的科技化信息网络平台。2010年伊始， 中国国家农业信息网甄选各地分网，邀请全国各地各界企事业单位、农业投资企业家、机构负责人、乡镇企业家、农业产业化企业、经营单位、团体和个人联盟协作，共同为促进我国三农事业的发展和经济社会做出应有贡献。网站理念　　“诚心、信心、耐心、决心”的经营理念 　　“国际化、市场化、人性化、标准化”的开发理念 　　“有求必应、有问必答、有呼必到”的服务理念团队精神　　诚信、创新、高效、激情职责追求　　时刻谨记“三农的需求就是我们的职责，政府的满意就是我们的追求”发展宗旨　　坚持为“三农”服务企业精神　　服务农业，E化农业分支机构　　中国国家农业信息网在各地的分网每地区只限一家，这些分网可以是在本省本专业领域具有良好的工作成绩和丰富的实践经验、具有中、高级农业专业技术职称的个人，可以是在三农产业化经济和社会发展中的龙头企事业、重点企事业，可以是农业、农村投资有关的重点企事业、政府机构，社团，还可以是具有代表性的农民自治组织。建立分网的目的是为了积极推进农业高科技成果转化、农业产业化科技推广与产业化的实施，辐射全国各地高科技农业产业，使经济信息的推广和实施网络化。服务功能　　中国国家农业信息网希望通过E网平台,能进一步促进各省各地区对高科技成果的转化，实现经营管理三个效益化;生产基地化、产品系列化、品牌名优化;提升农业产业化水平、农产品加工营销水平、农产品质量安全水平;市场开拓能工巧匠力，发展外向型农业;做到从市场中来到市场中去，形成良性循环。 　　未来发展 　　中国国家农业信息网，“立足自身，放眼未来”，继续专注农业信息化领域，坚持为“三农服务”，以自有品牌的软件、专业的技术优势、雄厚的开发力量以及完善的网络服务，立足北京、服务全国，不断深化工作、拓展业务，形成良性、快速发展的模式，持续性地提高我国农业信息化的水平，使其成为全国万千农民走向发家致富的磁悬浮列车，成为中国农民发展组织化、规模化、专业化产业、应对农业市场向全球开放的坚强后盾。"
种业硅谷,中国农业##农业##杂交水稻,种业硅谷位于长沙市芙蓉区浏阳河东畔的该基地，规划面积24平方公里。以“杂交水稻之父”袁隆平名字命名的“隆平新区•种业硅谷”，将致力于打造农业“中国芯”，实现种子技术交易全球化、种业商务电子化、种业学术交流国际化、运行模式简约直达化。
工分制,中国农业##农业##社会##经济,中国农村集体经济组织内部计量社员参加公共生产劳动的数量和社员劳动报酬的一种形式。亦称劳动日制。对于一种工作，在一定土地、耕畜、农具、天时等条件下，以一个中等劳动力按照一定质量要求一天所能达到的劳动数量，作为一个劳动日。为了计算上的方便，把一个劳动日分成10个工分。依照每个人的劳动耗费和应分配的消费数量记相应的工分。决算时，按当年每一工分值和每个人工分总额来分配劳动报酬。
北京谷物协会,中国农业##农民##协会##机构##社会机构##社会组织##组织,北京谷物协会是由北京市农业技术推广站为首的二十几家单位发起成立的，2002年7月在北京市民政局正式注册，协会的业务主管部门为北京市农业局。协会成立以来，积极发挥桥梁和纽带作用，在定单销售、种植业风险互助、行业服务、技术咨询等方面作了大量工作，得到了各级政府好评，受到了农户普遍欢迎。
农村公共物品供给研究,中国农业##农业##图书##经济,《农村公共物品供给研究》，作者，石洪斌，由科学出版社于2009年出版。
犁牛扬,中国农业##互联网##农产品,此词条暂无内容，欢迎您参与编辑，享受分享贡献知识的乐趣。建议您在编辑词条之前，可先参考帮助中心文档，了解更多关于词条规范的信息。同时也可先熟悉编辑器的使用。若有疑问，欢迎联系： 在线提问：帮助小组联系我们友情提示：编写内容之前需删除以上内容。
顾国新,中国农业##人物##农业##农村##农资流通##营口名人##财经行业名人##辽宁##顾姓名人,顾国新，男，1955年3月生，辽宁营口人，全国政协委员，中华全国供销合作总社党组成员、理事会副主任，中国供销集团董事长、党委书记，中国农业生产资料流通协会会长。历任国家计划委员会团委书记、机关党委常委兼青年处处长，海南瑞龙实业开发公司总经理，中国农业生产资料集团公司副总裁、总裁、党委书记，中华全国供销合作总社秘书长兼办公厅主任等职。
农业部南海区渔政渔港监督管理局,中国农业,概述/农业部南海区渔政渔港监督管理局 编辑 			 		　　农业部南海区渔政渔港监督管理局（简称农业部南海区渔政局、南海区渔政局或南海渔政局，对外称中华人民共和国南海区渔政渔港监督管理局）是中国政府驻广州的正厅级单位，直属中华人民共和国农业部。  历史/农业部南海区渔政渔港监督管理局 编辑 			 		　　该局前身为“南海区渔业指挥部”，成立于1974年4月，直属中华人民共和国国务院、受中央军事委员会领导。  　　1984年5月，归属农牧渔业部，改称“农牧渔业部南海区渔政分局”，同时挂“农牧渔业部南海区渔业指挥部”牌子。  　　1994年12月，改为“农业部南海区渔政渔港监督管理局”，并保留“农业部南海区渔业指挥部牌子”。  　　2002年3月成立“珠江流域渔业管理委员会”和2003年5月成立“农业部港澳流动渔民工作协调小组”之后，加挂“珠江流域渔业管理委员会”和“农业部港澳流动渔民工作协调小组办公室”两块牌子。  　　2008年，改为现名。
三自一包,中华人民共和国历史##中国农业##中国土地制度##中国政治,“三自一包”：自负盈亏、自由市场、自留地和包产到户。“三自”即指“自留地、自由市场、自负盈亏”，“三自”是刘少奇在大跃进失败后，主持经济调整工作，恢复了大跃进前的农村经济政策。“一包”即“包产到户”，但不是调整工作的经济政策，是各地部分农村的自发行为，在1962年7月毛泽东明确反对”包产到户“前，各级党委没有多加干预。
农村税费改革,中国农业##农村##税收##经济学术语##财政,农村税费改革被称为建国以来中国农村继土地改革、实行家庭承包之后的第三次重大改革，也被看成是减轻农民负担的治本之策。税费改革已经引起人们的广泛关注，学界和政界也进行了大量的研究。不过，总体上看，迄今的研究主要集中在迫切需要解决的现实问题及政策设计上，其中也不乏关于税费改革的成效及前景的判断和争论。
环球农产品网,中国农业##农业##农产品,环球农产品网，是由北京桑粱技术发展中心于2005年创建的
农业特产税,中国农业##中国税务##中国税收##农业税类##税务##税种##经济##经济学术语##财政##金融,农业特产税是农业特产农业税的简称，它是国家对从事农业特产生产经营并取得收入的单位和个人征收的一项税收。它是国家对从事农业特产生产经营的单位和个人征收的一项税收。农业特产税是依据现行农业税条例的有关规定开征的，是农业税的一部分。从课税目的和税制来看，农业特产税又有其自身特点和相对独立性，与农业税有较大区别。
生产大队,中国农业##中国历史##乡村,生产大队（大队）指中国大陆农村地区在人民公社时期存在的农村基层组织。其前身为“行政村”，实行人民公社制度以后，“村”过渡至大队；人民公社解体以后，恢复到原来“村”的体制。大队的建制上，既是公社直接管辖的行政编组（行政区），又是生产预算单位。其下划分为生产队，生产队直接管理农户。
两田制,中国农业##农业##农村##历史##经济政策,在坚持土地集体所有和家庭承包经营的前提下，将集体的土地划分为口粮田和责任田（有些地方叫商品田或经济田）两部分。
社会主义新农村,中国农业##农业##政治##政治学##理论##科学,“社会主义新农村”这一概念，早在上世纪50年代就提出过。上世纪80年代初，中国提出“小康社会”概念，其中建设社会主义新农村就是小康社会的重要内容之一。此次五中全会所提建设“社会主义新农村”，则是在新的历史背景中，在全新理念指导下的一次农村综合变革的新起点。
农业学大寨,中国农业,农业学大寨是继学雷锋和学大庆之后，中共宣传部门树立的又一典型，在当时的历史背景下，他是只知奉献，不求回报，一心一意忠于毛主席的形象代言；而在后来的宣传语境中，大寨的事迹同样也能切合各种需要。
中华人民共和国农业机械化促进法,中国农业##中国法律##法律##社会##社会制度,为了鼓励、扶持农民和农业生产经营组织使用先进适用的农业机械，促进农业机械化，建设现代农业，制定本法。
一亩田,中国农业##互联网##农产品##网站,北京一人一亩田网络科技有限公司（ymt.com+移动APP，简称一亩田集团）成立于2011年，是国内大型的农产品B2B诚信交易平台，一端服务于批发商和采购商，另一端服务于农民和产地，通过移动互联网和大数据能力，改善传统农产品流通方式、科学指导农业生产，达到节省社会资源、为农民增收为市民减负之目的。
中华人民共和国农业机械部,中国农业##政府部门,农业机械部是中华人民共和国国务院曾经有的一个部门，最管理农业机械发展的事项，早于1959年成立，至1994年被废除。
新农村建设,中国农业##农业##农村##经济,建设社会主义新农村，是贯彻落实科学发展观的重大举措。科学发展观的一个重要内容，就是经济社会的全面协调可持续发展，城乡协调发展是其重要的组成部分。全面落实科学发展观，必须保证占人口大多数的农民参与发展进程、共享发展成果。如果忽视农民群众的愿望和切身利益，农村经济社会发展长期滞后，发展就不可能是全面协调可持续的，科学发展观就无法落实。应当深刻认识建设社会主义新农村与落实科学发展观的内在联系，更加自觉、主动地投身于社会主义新农村建设，促进经济社会尽快转入科学发展的轨道。
中国三农网,中国农业##互联网##广域网##技术##网站##网络,"中国三农网是中国泛家居行业领航者亚太传媒结合三农问题，三农政策，亲情打造国内最具影响力的三农电商平台。三农网关心农业增长、关注农村稳定、关爱农民增收，为广大农民朋友提供农业资讯,农产品价格行情,农业信息技术,推动现代农业和社会主义新农村建设。"
中国农业综合开发年鉴2008,中国农业##年鉴,基本信息/中国农业综合开发年鉴2008 编辑 			 		　　出版社:中国财政经济出版社; 第1版 (2009年2月1日)中国农业综合开发年鉴2008精装:583页  　　正文语种:简体中文  　　开本:16  　　ISBN:9787509512197  　　条形码:9787509512197  　　商品尺寸: 28.6 x 21.2 x 3.2 cm  　　商品重量: 1.4 Kg  　　ASIN:B002LOKNHI  商品描述/中国农业综合开发年鉴2008 编辑 			 		　　《中国农业综合开发年鉴2008》内容丰富，不仅全面系统地记述了2007年的全国农业综合开发工作．还收集了详实的农业综合开发统计数据，为广大读者了解、研究农业综合开发．为基层农业综合开发工作者全面学习农业综合开发业务、规范使用统计数据，都提供了一份难得的资料。希望农业综合开发工作者们和社会各界通过对《中国农业综合开发年鉴》的有效运用，为做好新阶段的农业综合开发工作，为全面建设小康社会，构建农村和谐社会，推进社会主义新农村建设发挥更大的作用。
屠宰税,中国农业##中国税务##中国税收##会计##法律##法律术语##目的行为税##社会##税务##税务名词##税种##经济概念,屠宰税是向屠宰牲畜的单位和个人征收的一种税收。此税现在由地方管理。征收与否，由各省、自治区、直辖市人民政府自行决定。具体征收办法由各地根据《屠宰税暂行条例》和财政部的有关规定制定，报国务院备案。
中国农户网,中国农业##农业##农民,中国农户网是中国农民自己的网站，涉农行业的资讯港湾。农业走向未来的窗口，农户创造财富的家园。
中国农业生产资料流通协会,中国农业##农业##农村##农资流通##协会##经济,中国农业生产资料流通协会(简称中国农资流通协会)是由中华全国供销合作总社主管、由全国从事农业生产资料流通的企、事业单位和相关部门自愿联合组成的全国性农资行业社团组织。会员单位主要由全国及各地农资流通的重点企业组成。协会以自律、协调、服务、维权为工作宗旨，在农资流通行业管理中发挥着政府参谋和助手作用，在政府和会员企业之间起桥梁纽带作用，在协会会员单位之间、本行业和其他相关行业之间的合作和联合上起组织和推动作用。
中国小麦主产区,中国农业##农业气象百科##天气百科##小麦##粮食,中国小麦栽培遍及全国，农业部显示小麦主产区为：河北、山西、河南、山东、安徽、湖北、江苏、四川、陕西等。
